date,d1
2009-01-01,0
2009-02-01,383.52656
2009-03-01,199.4207771
2009-04-01,0
2009-05-01,0
2009-06-01,0
2009-07-01,0
2009-08-01,0
2009-09-01,0
2009-10-01,123.1716565
2009-11-01,0
2009-12-01,41.38306977
2010-01-01,240.152145
2010-02-01,64.84433766
2010-03-01,15.96669621
2010-04-01,0
2010-05-01,18.57350375
2010-06-01,0
2010-07-01,0
2010-08-01,0
2010-09-01,0
2010-10-01,1.303403772
2010-11-01,23.78711884
2010-12-01,313.4686072
2011-01-01,26.2961711
2011-02-01,74.13108954
2011-03-01,77.38959897
2011-04-01,28.38161714
2011-05-01,0
2011-06-01,0
2011-07-01,0
2011-08-01,0
2011-09-01,0
2011-10-01,1.303403772
2011-11-01,53.34179938
2011-12-01,0
2012-01-01,115.9051804
2012-02-01,10.03620905
2012-03-01,159.3085261
2012-04-01,56.50255352
2012-05-01,0
2012-06-01,29.26141468
2012-07-01,0
2012-08-01,0
2012-09-01,0
2012-10-01,70.02536766
2012-11-01,343.9356704
2012-12-01,82.21219293
2013-01-01,0
2013-02-01,46.30018331
2013-03-01,51.00020191
2013-04-01,13.00005147
2013-05-01,0
2013-06-01,0
2013-07-01,0
2013-08-01,0
2013-09-01,0
2013-10-01,4.000015836
2013-11-01,20.60008156
2013-12-01,263.8010444
2014-01-01,23.58183275
2014-02-01,146.5873052
2014-03-01,83.00075221
2014-04-01,4.715063146
2014-05-01,0.234612679
2014-06-01,0.980811339
2014-07-01,1.238233584
2014-08-01,0
2014-09-01,0
2014-10-01,0
2014-11-01,25.97683718
2014-12-01,67.37619949
2015-01-01,0
2015-02-01,383.52656
2015-03-01,199.4207771
2015-04-01,0
2015-05-01,0
2015-06-01,0
2015-07-01,0
2015-08-01,0
2015-09-01,0
2015-10-01,123.1716565
2015-11-01,0
2015-12-01,41.38306977
2016-01-01,240.152145
2016-02-01,64.84433766
2016-03-01,15.96669621
2016-04-01,0
2016-05-01,18.57350375
2016-06-01,0
2016-07-01,0
2016-08-01,0
2016-09-01,0
2016-10-01,1.303403772
2016-11-01,23.78711884
2016-12-01,313.4686072
2017-01-01,26.2961711
2017-02-01,74.13108954
2017-03-01,77.38959897
2017-04-01,28.38161714
2017-05-01,0
2017-06-01,0
2017-07-01,0
2017-08-01,0
2017-09-01,0
2017-10-01,1.303403772
2017-11-01,53.34179938
2017-12-01,0
2018-01-01,115.9051804
2018-02-01,10.03620905
2018-03-01,159.3085261
2018-04-01,56.50255352
2018-05-01,0
2018-06-01,29.26141468
2018-07-01,0
2018-08-01,0
2018-09-01,0
2018-10-01,70.02536766
2018-11-01,343.9356704
2018-12-01,82.21219293
